編號,日期,部門,項目,分類,金額,申請人,憑證類型,備註
E0162,2026-04-22,財務,設備維修,交通,450,秀如,發票,
E0163,2026-04-15,業務,耗材,行銷,8500,美玲,轉帳證明,
E0164,2026-04-03,客服,辦公室清潔,差旅,8500,志強,發票,
E0165,2026-04-05,倉儲,計程車,交通,950,小李,轉帳證明,
E0166,2026-04-17,行政,辦公室清潔,餐敘,12000,怡君,信用卡單,
E0167,2026-04-14,業務,保險續約,設備,45000,志強,發票,
E0168,2026-04-17,行政,設備維修,網路,1200,秀如,收據,
E0169,2026-04-08,客服,影印紙,交通,780,美玲,信用卡單,
E0170,2026-05-03,業務,客戶餐敘,餐敘,4800,阿明,發票,5/3 第一筆
E0171,2026-04-04,財務,高鐵票,維護,2500,美玲,收據,
E0172,2026-04-17,業務,辦公室清潔,其他,3500,文哲,收據,
E0173,2026-04-28,客服,影印紙,差旅,8500,小李,發票,
E0174,2026-04-04,行政,設備維修,餐敘,8000,大維,轉帳證明,
E0175,2026-04-19,倉儲,便當,其他,3500,小李,信用卡單,
E0176,2026-04-29,客服,辦公室清潔,交通,180,阿明,轉帳證明,
E0177,2026-04-01,行政,便當,網路,1200,志強,轉帳證明,
E0178,2026-04-06,財務,客戶禮,行銷,35000,阿明,信用卡單,
E0179,2026-04-19,客服,計程車,差旅,12000,秀如,發票,
E0180,2026-04-01,行政,耗材,保險,12000,大維,信用卡單,
E0181,2026-04-17,財務,辦公室清潔,維護,12000,怡君,信用卡單,
E0182,2026-04-21,客服,便當,水電,12000,阿明,轉帳證明,
E0183,2026-04-20,財務,高鐵票,餐敘,3800,秀如,收據,
E0184,2026-04-17,行政,計程車,會議,3500,秀如,發票,
E0185,2026-04-04,行政,保險續約,交通,250,志強,轉帳證明,
E0186,2026-04-09,行政,員工活動,其他,500,文哲,信用卡單,
E0187,2026-04-03,行政,保險續約,保險,28000,志強,信用卡單,
E0188,2026-04-07,財務,影印紙,會議,8500,大維,信用卡單,
E0189,2026-04-14,行政,員工活動,交通,780,阿明,發票,
E0190,2026-04-29,客服,設備維修,餐敘,8000,秀如,收據,
E0191,2026-04-22,倉儲,客戶禮,文具,580,秀如,收據,
E0192,2026-04-02,倉儲,便當,餐敘,5500,志強,信用卡單,
E0193,2026-04-15,客服,客戶禮,設備,28000,大維,信用卡單,
E0194,2026-04-17,業務,影印紙,其他,1500,小李,轉帳證明,
E0195,2026-04-06,倉儲,計程車,餐敘,5500,大維,收據,
E0196,2026-04-01,客服,保險續約,維護,25000,阿明,發票,
E0197,2026-04-04,行政,耗材,水電,8500,怡君,信用卡單,
E0198,2026-04-20,倉儲,耗材,文具,2500,阿明,發票,
E0199,2026-04-05,財務,影印紙,維護,12000,怡君,轉帳證明,
E0200,2026-04-02,客服,高鐵票,其他,8500,秀如,轉帳證明,
